project_type,location,total_area_sqft,num_floors,num_workers,planned_duration_days,material_quality,complexity_level,has_basement,weather_risk_zone,contractor_experience_years,soil_type,water_table_level,distance_from_city_km,site_accessibility,floor_height_ft,foundation_type,num_bathrooms,electrical_load_kw,finishing_level,site_topography,actual_cost,actual_duration_days
industrial,Kochi,26600,1,67,522,standard,high,False,high,7,sandy,moderate,0,moderate,16,isolated,12,1067,standard,gentle_slope,125898000.0,559
residential,Hyderabad,4400,3,44,172,premium,medium,False,moderate,5,normal,high,23,difficult,11,raft,8,23,premium,gentle_slope,56645000.0,164
residential,Varanasi,8000,1,57,258,economy,high,False,moderate,5,rocky,moderate,15,moderate,11,isolated,14,60,basic,gentle_slope,27702000.0,243
residential,Vadodara,7800,3,41,347,standard,low,False,moderate,9,normal,moderate,53,remote,10.5,strip,13,45,basic,steep_slope,46727000.0,345
infrastructure,Madurai,20900,2,184,730,economy,low,False,moderate,14,sandy,moderate,25,moderate,12,isolated,14,89,basic,gentle_slope,69384000.0,720
residential,Navi Mumbai,4500,4,39,254,standard,medium,False,high,1,marshy,deep,19,easy,10,pile,9,32,standard,flat,41246000.0,282
residential,Ludhiana,3500,4,21,197,economy,medium,False,moderate,13,normal,shallow,28,easy,11,isolated,6,14,basic,flat,7878000.0,210
commercial,Shimla,25500,1,136,730,premium,high,False,high,11,normal,shallow,21,moderate,10,strip,31,358,luxury,hilly,591132000.0,727
industrial,Kanpur,6600,3,26,177,premium,low,False,moderate,13,rocky,moderate,20,easy,18,raft,5,161,luxury,flat,65044000.0,178
residential,Guwahati,7200,4,73,512,economy,medium,False,high,5,marshy,high,32,easy,10,raft,11,30,basic,gentle_slope,29756000.0,499
commercial,Patna,15000,1,45,447,economy,medium,False,high,14,normal,moderate,33,easy,12,isolated,19,160,basic,flat,34096000.0,449
residential,Udaipur,5600,3,41,316,standard,high,False,low,3,normal,deep,5,easy,16,strip,8,24,standard,flat,30423000.0,302
commercial,Mysore,25900,2,158,730,premium,high,False,low,5,normal,deep,18,moderate,12,isolated,31,281,premium,flat,258220000.0,740
commercial,Thrissur,6500,8,71,336,premium,high,True,high,16,normal,shallow,11,easy,11,strip,9,103,luxury,flat,225379000.0,337
infrastructure,Mumbai,16000,2,89,586,economy,low,False,high,5,normal,moderate,30,difficult,10,isolated,12,78,basic,flat,67336000.0,586
infrastructure,Raipur,8300,2,44,347,premium,high,False,moderate,9,rocky,deep,49,difficult,10.5,isolated,7,18,premium,flat,128490000.0,358
residential,Coimbatore,6400,2,47,294,premium,medium,False,low,9,rocky,deep,11,easy,10,strip,12,42,premium,steep_slope,73655000.0,291
infrastructure,Gandhinagar,16700,1,128,444,economy,low,False,moderate,4,sandy,moderate,41,moderate,9,isolated,11,36,basic,gentle_slope,55516000.0,449
residential,Salem,4300,1,22,172,economy,medium,False,low,10,normal,high,0,easy,10,raft,9,18,standard,flat,12975000.0,170
residential,Jodhpur,3600,1,26,126,standard,low,False,moderate,7,clay,high,8,difficult,16,pile,7,24,standard,hilly,23976000.0,136
residential,Thanjavur,6200,2,52,327,standard,medium,False,moderate,14,sandy,shallow,33,difficult,12,strip,12,22,standard,flat,27635000.0,312
industrial,Aligarh,38100,3,172,730,standard,low,False,moderate,4,rocky,moderate,0,easy,18,strip,18,1564,standard,flat,170277000.0,730
residential,Kochi,7100,4,44,380,economy,high,False,high,4,normal,deep,7,moderate,12,raft,11,38,standard,steep_slope,40207000.0,387
commercial,Bhubaneswar,44300,7,264,730,standard,medium,False,moderate,7,rocky,shallow,0,easy,12,pile,50,482,standard,steep_slope,492247000.0,724
commercial,Aligarh,46600,4,368,730,standard,low,False,moderate,12,sandy,moderate,28,moderate,16,strip,50,467,premium,flat,299261000.0,715
residential,Jabalpur,5700,3,36,267,standard,low,False,moderate,3,marshy,deep,0,easy,11,pile,11,30,basic,flat,23454000.0,271
residential,Ludhiana,6700,4,59,444,standard,medium,False,moderate,7,sandy,deep,33,moderate,14,raft,10,44,standard,flat,31322000.0,438
residential,Guwahati,900,4,8,81,standard,medium,False,high,14,normal,moderate,19,easy,14,isolated,1,6,premium,flat,4952000.0,87
commercial,Ranchi,28700,4,174,730,standard,medium,False,moderate,8,clay,high,4,easy,14,pile,35,325,standard,flat,266446000.0,743
residential,Thiruvananthapuram,7500,2,46,352,premium,medium,False,high,1,sandy,moderate,1,moderate,18,isolated,14,50,premium,gentle_slope,58528000.0,354
residential,Lucknow,5000,4,34,361,standard,high,False,moderate,7,marshy,deep,46,easy,14,pile,8,17,standard,gentle_slope,54155000.0,386
residential,Aligarh,1900,2,16,75,standard,high,False,moderate,12,clay,moderate,19,easy,16,pile,2,7,basic,flat,9769000.0,67
residential,Aligarh,6500,2,35,325,premium,low,False,moderate,9,sandy,deep,31,moderate,10.5,isolated,9,30,premium,steep_slope,46575000.0,341
industrial,Guntur,40900,3,208,730,standard,low,False,high,8,rocky,shallow,24,moderate,20,isolated,21,738,standard,steep_slope,191646000.0,727
industrial,Goa,52500,1,160,730,economy,low,False,high,5,marshy,deep,28,moderate,14,pile,27,916,basic,gentle_slope,144475000.0,766
industrial,Rajkot,71900,1,245,730,economy,medium,False,moderate,1,normal,moderate,17,easy,12,strip,34,1825,basic,flat,132642000.0,763
infrastructure,Lucknow,12200,2,73,598,standard,high,False,moderate,8,sandy,shallow,15,easy,10.5,raft,10,40,basic,flat,91448000.0,617
infrastructure,Vadodara,4600,2,29,154,premium,medium,False,moderate,5,sandy,shallow,32,easy,10,isolated,3,15,premium,flat,47665000.0,161
residential,Trichy,2000,1,11,60,standard,high,False,moderate,2,sandy,moderate,3,moderate,10.5,strip,3,11,standard,flat,8648000.0,77
industrial,Thanjavur,6800,1,25,136,economy,high,False,moderate,7,clay,high,29,moderate,18,pile,5,155,standard,steep_slope,36691000.0,155
commercial,Faridabad,20200,1,107,409,standard,medium,True,high,6,sandy,high,45,difficult,16,isolated,24,255,premium,flat,157638000.0,435
commercial,Coimbatore,44900,3,213,730,standard,low,True,low,4,rocky,deep,21,difficult,14,strip,50,721,premium,flat,551574000.0,736
residential,Hubli,1100,2,6,67,standard,medium,False,low,2,sandy,moderate,42,moderate,10,isolated,1,7,standard,gentle_slope,4729000.0,81
residential,Hyderabad,7800,3,50,513,economy,high,True,low,10,clay,deep,12,easy,9,strip,15,49,standard,steep_slope,56086000.0,533
residential,Chennai,3100,1,21,147,economy,high,False,high,8,rocky,deep,51,remote,11,isolated,5,15,basic,flat,13768000.0,151
infrastructure,Madurai,11700,1,89,429,standard,high,False,moderate,5,clay,high,0,moderate,10.5,raft,8,28,standard,hilly,109656000.0,439
infrastructure,Varanasi,8000,2,44,273,economy,medium,False,moderate,9,sandy,shallow,49,moderate,10,raft,7,36,basic,steep_slope,40059000.0,280
residential,Gurgaon,1500,2,6,67,premium,low,True,high,6,normal,shallow,30,moderate,14,isolated,4,9,luxury,flat,18241000.0,85
residential,Faridabad,7800,1,43,349,economy,medium,False,high,7,normal,moderate,14,easy,10,isolated,12,24,basic,flat,18984000.0,345
residential,Amritsar,1300,1,7,69,standard,low,False,moderate,6,sandy,moderate,13,easy,16,isolated,4,5,premium,flat,5297000.0,54
commercial,Vadodara,14500,8,145,730,premium,medium,False,moderate,3,sandy,deep,31,difficult,12,strip,17,213,premium,gentle_slope,291783000.0,731
residential,Hubli,1800,3,9,74,economy,medium,False,low,4,clay,moderate,28,moderate,10,pile,2,8,standard,flat,6987000.0,72
infrastructure,Warangal,3300,1,24,142,economy,low,False,moderate,9,normal,moderate,30,moderate,11,isolated,3,8,standard,hilly,10891000.0,137
commercial,Agra,10600,5,68,370,economy,high,False,high,1,normal,high,39,easy,11,raft,15,139,basic,gentle_slope,82509000.0,393
residential,Jabalpur,6600,1,37,356,standard,low,False,moderate,9,clay,moderate,0,easy,16,strip,11,49,premium,steep_slope,30460000.0,350
industrial,Jamshedpur,67500,2,189,730,economy,high,False,moderate,11,normal,deep,33,easy,16,strip,35,1978,standard,gentle_slope,195419000.0,744
commercial,Mangalore,12100,8,77,553,premium,medium,False,moderate,12,sandy,moderate,10,easy,12,raft,17,167,premium,steep_slope,220967000.0,571
residential,Surat,1300,4,8,89,economy,medium,False,high,1,normal,moderate,39,difficult,11,isolated,2,8,basic,gentle_slope,4194000.0,91
commercial,Kanpur,48400,1,230,730,premium,medium,True,moderate,8,sandy,deep,0,easy,11,isolated,50,548,luxury,flat,363529000.0,718
commercial,Dehradun,42300,4,346,730,economy,low,True,high,10,normal,shallow,13,easy,10,strip,50,691,basic,hilly,196897000.0,741
industrial,Lucknow,33300,3,146,730,economy,medium,False,moderate,2,clay,high,18,moderate,18,raft,17,935,basic,gentle_slope,168429000.0,737
residential,Faridabad,1300,1,7,60,premium,high,False,high,5,sandy,deep,18,difficult,11,strip,4,5,luxury,flat,20190000.0,81
residential,Guntur,5000,2,43,237,premium,medium,False,moderate,2,clay,deep,0,difficult,12,raft,9,23,luxury,flat,50832000.0,250
residential,Hyderabad,3900,4,33,254,premium,high,False,moderate,6,rocky,moderate,0,easy,9,isolated,5,23,premium,hilly,65910000.0,268
residential,Jabalpur,4100,1,25,180,standard,low,True,moderate,1,rocky,deep,19,easy,10.5,isolated,6,26,standard,gentle_slope,17191000.0,188
residential,Chandigarh,5700,4,59,236,standard,medium,False,moderate,13,sandy,moderate,32,easy,16,isolated,10,22,standard,hilly,33637000.0,239
residential,Warangal,3800,3,35,192,premium,medium,False,low,18,marshy,moderate,50,difficult,11,pile,5,17,premium,flat,43459000.0,187
industrial,Patna,56500,1,156,730,premium,high,True,high,11,sandy,moderate,0,moderate,12,isolated,29,1239,standard,flat,331955000.0,765
residential,Noida,6000,2,27,333,standard,medium,False,high,1,normal,high,9,easy,10,isolated,10,46,standard,flat,31826000.0,343
residential,Dehradun,1100,4,7,81,economy,medium,False,high,7,clay,deep,16,moderate,14,strip,2,3,basic,flat,3518000.0,75
commercial,Meerut,5600,8,47,276,premium,low,False,moderate,3,marshy,moderate,0,easy,14,strip,7,67,luxury,flat,113868000.0,275
industrial,Ludhiana,22800,1,91,567,premium,low,False,moderate,5,sandy,deep,22,moderate,18,raft,13,1045,premium,steep_slope,166008000.0,570
commercial,Noida,19200,3,145,730,economy,medium,False,high,6,rocky,moderate,8,moderate,14,isolated,23,281,standard,flat,89006000.0,739
commercial,Ludhiana,48800,3,198,730,standard,medium,False,moderate,13,sandy,high,31,difficult,12,strip,50,507,premium,flat,375080000.0,745
industrial,Coimbatore,57700,2,172,730,standard,medium,True,low,15,normal,moderate,1,easy,16,isolated,28,894,premium,flat,338134000.0,746
infrastructure,Jodhpur,3400,2,14,133,standard,high,False,moderate,11,normal,moderate,4,moderate,12,strip,1,12,standard,gentle_slope,18817000.0,131
residential,Vellore,1600,2,9,67,economy,medium,False,moderate,5,normal,moderate,0,easy,10,raft,2,6,basic,gentle_slope,3554000.0,73
industrial,Srinagar,45400,1,176,730,standard,medium,False,low,5,normal,shallow,39,easy,16,raft,21,1065,standard,steep_slope,238194000.0,736
residential,Kanpur,4100,3,39,251,economy,low,False,moderate,4,rocky,shallow,56,difficult,14,isolated,5,31,standard,hilly,19196000.0,265
commercial,Faridabad,9600,8,65,437,premium,medium,False,high,7,normal,shallow,30,moderate,10,pile,11,171,luxury,flat,355105000.0,459
commercial,Pune,7400,7,43,266,economy,medium,False,moderate,6,normal,shallow,17,moderate,14,raft,8,127,basic,flat,58258000.0,256
infrastructure,Chandigarh,11200,2,100,403,economy,medium,False,moderate,9,rocky,moderate,32,moderate,11,isolated,9,25,basic,flat,48139000.0,403
commercial,Thrissur,34400,7,321,730,standard,medium,True,high,12,rocky,moderate,26,moderate,12,raft,45,342,standard,flat,413327000.0,754
residential,Goa,3300,2,25,125,standard,high,False,high,8,normal,moderate,1,easy,10.5,strip,5,12,standard,hilly,15129000.0,128
residential,Srinagar,2200,1,9,86,economy,low,False,high,19,normal,deep,13,easy,12,strip,3,9,basic,steep_slope,4638000.0,92
residential,Jodhpur,5600,4,53,329,economy,high,False,low,13,rocky,moderate,31,easy,12,strip,10,25,standard,flat,25753000.0,314
residential,Pune,5000,3,48,221,premium,low,False,moderate,9,rocky,shallow,23,moderate,10,strip,9,18,luxury,flat,80103000.0,212
residential,Mysore,2600,1,13,110,standard,medium,False,low,9,marshy,deep,0,easy,11,pile,5,11,standard,flat,10047000.0,107
commercial,Noida,42500,3,250,730,standard,high,False,high,3,normal,high,0,easy,11,strip,50,775,standard,flat,327246000.0,736
commercial,Visakhapatnam,45200,2,263,730,premium,medium,False,high,11,normal,high,6,easy,10,strip,50,366,premium,flat,414124000.0,740
residential,Pune,5500,3,32,236,standard,medium,False,moderate,14,sandy,deep,10,moderate,10,raft,11,19,standard,flat,26752000.0,227
industrial,Guwahati,73600,2,255,730,standard,medium,False,moderate,7,normal,high,14,easy,16,raft,36,1243,premium,gentle_slope,517352000.0,739
infrastructure,Thane,10400,1,75,453,economy,high,False,low,9,rocky,shallow,32,moderate,9,isolated,8,30,basic,flat,61396000.0,470
industrial,Nashik,56800,3,153,730,standard,high,False,moderate,8,marshy,shallow,0,easy,18,pile,30,2589,premium,flat,674808000.0,765
infrastructure,Bhubaneswar,2600,2,18,75,economy,high,False,high,1,sandy,high,11,moderate,16,raft,2,9,standard,flat,21390000.0,85
residential,Dehradun,7300,3,40,342,economy,medium,False,high,9,normal,deep,35,easy,12,isolated,13,30,basic,gentle_slope,16185000.0,327
residential,Mangalore,6900,3,36,349,economy,high,False,high,8,clay,deep,37,easy,10,pile,13,40,basic,gentle_slope,34686000.0,355
residential,Jaipur,5300,2,43,207,premium,low,False,high,6,normal,deep,0,difficult,10.5,strip,7,27,luxury,flat,40839000.0,203
industrial,Nagpur,9600,2,48,174,standard,medium,False,high,5,normal,high,22,moderate,14,strip,5,188,premium,flat,56112000.0,163
commercial,Mumbai,8600,4,69,414,premium,medium,False,high,13,marshy,deep,4,easy,12,strip,12,99,premium,gentle_slope,131444000.0,411
industrial,Noida,64300,2,328,730,economy,medium,False,high,8,normal,high,0,easy,12,isolated,32,2348,basic,gentle_slope,175508000.0,732
commercial,Navi Mumbai,47200,4,311,730,economy,medium,False,high,5,normal,shallow,17,easy,11,strip,50,922,basic,hilly,271891000.0,733
residential,Mangalore,1000,1,5,60,standard,low,False,high,10,sandy,moderate,0,easy,10.5,isolated,2,7,premium,steep_slope,4766000.0,54
commercial,Trichy,34500,1,173,730,economy,low,False,moderate,11,normal,moderate,0,moderate,12,strip,44,586,standard,flat,70533000.0,730
residential,Bhopal,3300,3,31,132,standard,medium,False,moderate,11,normal,shallow,16,moderate,12,isolated,6,18,basic,flat,12483000.0,126
industrial,Jodhpur,30900,2,123,730,standard,medium,False,moderate,14,rocky,moderate,0,easy,16,isolated,15,541,standard,gentle_slope,133443000.0,738
commercial,Agra,34400,4,204,730,economy,low,False,high,6,normal,high,0,moderate,11,strip,45,341,basic,flat,118695000.0,745
commercial,Pondicherry,4000,2,18,115,economy,high,False,high,7,normal,deep,1,easy,10,isolated,7,53,standard,flat,14911000.0,134
residential,Bangalore,2100,3,16,105,premium,medium,True,low,14,clay,shallow,18,moderate,10.5,raft,5,10,premium,flat,21885000.0,109
commercial,Aurangabad,18200,3,89,549,standard,medium,False,moderate,7,clay,moderate,0,easy,12,strip,21,328,premium,steep_slope,148894000.0,558
commercial,Ranchi,22500,7,210,730,standard,high,True,moderate,6,normal,deep,42,moderate,12,raft,28,254,standard,hilly,304181000.0,749
residential,Thane,3800,3,31,148,premium,low,False,high,3,normal,high,12,moderate,11,strip,5,18,luxury,flat,39797000.0,145
infrastructure,Guntur,15100,2,133,557,standard,medium,False,moderate,5,clay,high,0,moderate,10.5,pile,9,43,standard,flat,102826000.0,555
infrastructure,Lucknow,10200,1,42,306,standard,medium,False,moderate,3,normal,deep,16,easy,10,strip,7,26,basic,hilly,51180000.0,318
commercial,Agra,34400,4,284,730,standard,medium,False,high,8,clay,high,0,moderate,10,raft,43,342,basic,gentle_slope,249440000.0,739
infrastructure,Ranchi,24500,2,217,730,standard,high,False,moderate,13,normal,deep,0,moderate,14,isolated,17,138,basic,gentle_slope,155650000.0,715
residential,Kolkata,4000,3,35,267,economy,high,False,high,6,marshy,deep,39,moderate,16,raft,5,30,standard,gentle_slope,25192000.0,276
commercial,Aligarh,23300,7,155,730,standard,low,False,moderate,15,sandy,deep,20,easy,11,pile,28,373,standard,flat,140150000.0,715
residential,Thiruvananthapuram,3600,3,28,205,standard,medium,False,high,8,clay,shallow,0,easy,10,strip,8,22,standard,flat,17138000.0,200
residential,Amritsar,4800,2,40,262,economy,medium,False,moderate,6,normal,deep,21,moderate,10,isolated,7,23,basic,flat,10232000.0,256
residential,Hyderabad,1000,4,7,81,standard,medium,False,moderate,12,sandy,moderate,31,difficult,9,strip,1,3,premium,hilly,9246000.0,75
infrastructure,Gurgaon,3200,1,15,98,premium,medium,False,high,4,clay,deep,0,easy,14,strip,4,11,luxury,gentle_slope,39797000.0,109
industrial,Navi Mumbai,28300,1,103,534,standard,medium,False,high,8,normal,deep,10,easy,16,raft,15,568,standard,steep_slope,165352000.0,535
infrastructure,Thiruvananthapuram,6000,1,28,210,economy,medium,False,high,6,clay,deep,23,moderate,12,strip,6,22,standard,flat,31899000.0,224
residential,Dehradun,5900,2,33,342,economy,high,False,high,17,rocky,moderate,0,easy,9,isolated,9,23,basic,hilly,21148000.0,335
industrial,Jodhpur,70300,1,268,730,premium,high,False,moderate,8,normal,deep,8,easy,14,isolated,35,2316,standard,flat,336092000.0,715
residential,Udaipur,1300,1,9,60,standard,medium,False,low,1,normal,moderate,24,moderate,14,isolated,2,6,standard,flat,4638000.0,45
residential,Warangal,7200,3,67,448,standard,low,False,moderate,8,clay,deep,30,moderate,10,strip,12,24,standard,flat,21080000.0,435
industrial,Goa,17500,3,85,629,standard,high,False,high,9,sandy,moderate,28,difficult,14,strip,10,442,standard,gentle_slope,141557000.0,658
residential,Thane,6000,1,43,282,economy,low,False,high,3,rocky,deep,0,easy,10.5,isolated,12,39,standard,gentle_slope,17672000.0,279
commercial,Jamshedpur,40200,1,177,730,standard,low,False,moderate,10,rocky,high,0,moderate,16,raft,50,498,premium,gentle_slope,299028000.0,730
residential,Madurai,2500,4,15,153,standard,medium,False,moderate,5,marshy,high,0,easy,11,raft,3,14,standard,flat,14070000.0,160
residential,Hubli,4300,4,40,232,economy,low,False,low,11,normal,high,22,difficult,10.5,strip,8,13,standard,flat,12518000.0,236
commercial,Coimbatore,25400,2,164,730,economy,high,False,low,4,clay,high,0,easy,12,pile,31,275,basic,flat,135843000.0,728
commercial,Jaipur,35800,6,234,730,standard,medium,True,high,1,sandy,moderate,8,easy,16,pile,45,380,standard,gentle_slope,397711000.0,767
infrastructure,Mysore,13000,2,109,439,economy,medium,False,low,10,normal,deep,24,moderate,10.5,isolated,10,68,standard,flat,54922000.0,435
infrastructure,Chennai,22700,1,140,635,standard,high,False,high,1,normal,high,21,moderate,11,strip,15,49,premium,flat,282181000.0,656
infrastructure,Ludhiana,10700,1,84,374,standard,medium,False,moderate,7,normal,deep,57,remote,10.5,pile,8,47,standard,flat,69502000.0,390
industrial,Gandhinagar,63700,2,250,730,standard,medium,False,moderate,2,sandy,deep,2,easy,16,isolated,30,3119,standard,flat,335597000.0,744
residential,Mangalore,1000,1,5,60,economy,high,False,high,9,rocky,high,9,easy,10,isolated,3,3,standard,hilly,5599000.0,115
residential,Vijayawada,7700,4,81,557,standard,medium,False,low,3,sandy,deep,0,moderate,10,raft,11,51,basic,flat,32513000.0,542
commercial,Shimla,28400,8,295,730,premium,medium,False,high,6,normal,deep,20,moderate,11,raft,36,493,premium,steep_slope,643029000.0,753
commercial,Patna,32100,4,163,730,standard,medium,True,low,8,sandy,deep,17,moderate,11,isolated,40,566,standard,flat,160985000.0,738
residential,Visakhapatnam,4800,1,26,213,standard,low,True,high,7,normal,moderate,33,difficult,14,strip,9,28,premium,gentle_slope,27819000.0,217
commercial,Mangalore,23400,6,220,730,premium,medium,True,high,6,normal,shallow,44,moderate,16,raft,29,338,luxury,steep_slope,560811000.0,744
residential,Navi Mumbai,2300,3,22,90,premium,low,True,high,3,clay,high,29,moderate,10.5,raft,3,8,premium,flat,32233000.0,104
residential,Bhopal,2800,1,19,109,economy,low,False,moderate,5,sandy,shallow,37,moderate,10,raft,4,21,basic,gentle_slope,7351000.0,109
commercial,Kanpur,13900,2,52,411,economy,high,False,moderate,11,sandy,deep,0,easy,16,raft,17,119,basic,flat,49931000.0,398
residential,Pune,5600,2,34,199,economy,medium,False,low,8,sandy,deep,8,easy,11,raft,10,36,basic,gentle_slope,15189000.0,198
commercial,Salem,14900,6,122,548,standard,high,False,low,6,normal,deep,2,easy,14,strip,18,230,standard,flat,106529000.0,561
infrastructure,Chennai,10600,1,53,388,economy,medium,False,high,1,rocky,shallow,7,easy,12,isolated,7,60,basic,flat,38599000.0,411
residential,Chennai,2100,4,13,126,premium,medium,False,high,11,marshy,moderate,0,difficult,10,raft,2,15,premium,flat,28825000.0,141
residential,Chennai,2800,2,12,164,premium,high,False,high,18,normal,high,2,moderate,10.5,isolated,4,8,premium,gentle_slope,26947000.0,162
residential,Lucknow,3500,4,33,160,premium,low,False,moderate,9,normal,high,0,moderate,9,strip,4,15,premium,flat,25424000.0,145
residential,Thiruvananthapuram,4600,3,36,220,economy,high,False,low,13,marshy,moderate,7,easy,10.5,pile,9,32,basic,gentle_slope,27924000.0,213
residential,Agra,7700,2,52,297,economy,medium,False,high,3,rocky,moderate,35,difficult,12,isolated,13,25,basic,steep_slope,25496000.0,314
industrial,Mumbai,15800,3,42,337,standard,low,False,high,8,marshy,shallow,42,moderate,16,pile,7,426,standard,hilly,205128000.0,349
residential,Tirupati,3000,1,21,107,premium,medium,False,moderate,12,clay,deep,19,moderate,12,raft,7,19,luxury,hilly,33385000.0,113
commercial,Chandigarh,29200,1,98,730,economy,medium,False,moderate,9,clay,high,0,difficult,11,raft,35,360,basic,flat,105636000.0,734
residential,Vadodara,7900,2,65,323,economy,medium,False,moderate,3,rocky,deep,43,difficult,12,isolated,13,33,basic,flat,21857000.0,328
residential,Jodhpur,4400,3,35,220,standard,medium,False,moderate,10,rocky,deep,25,easy,9,strip,6,34,standard,flat,17986000.0,225
residential,Vijayawada,6700,1,36,224,premium,medium,False,moderate,10,rocky,moderate,0,easy,11,raft,13,39,luxury,gentle_slope,75797000.0,218
infrastructure,Jamshedpur,12500,2,71,439,economy,low,False,moderate,14,normal,deep,0,easy,10.5,isolated,10,34,basic,flat,33041000.0,424
infrastructure,Aurangabad,7300,2,60,342,standard,medium,False,moderate,9,clay,high,24,moderate,11,pile,3,30,standard,flat,63792000.0,327
infrastructure,Srinagar,19400,2,109,730,economy,low,False,high,7,normal,high,0,easy,10,raft,11,42,basic,gentle_slope,74885000.0,715
residential,Salem,8000,4,87,578,economy,high,False,low,13,rocky,deep,22,difficult,9,isolated,12,56,standard,flat,35350000.0,563
residential,Hyderabad,1700,1,9,74,economy,medium,False,moderate,3,normal,moderate,26,moderate,9,isolated,4,10,standard,steep_slope,5265000.0,77
residential,Kolkata,6000,3,37,245,premium,medium,False,high,8,clay,high,50,difficult,10.5,pile,12,18,premium,flat,80474000.0,253
commercial,Vadodara,25400,4,145,730,standard,high,True,moderate,3,normal,deep,6,easy,10,strip,32,374,standard,flat,183056000.0,744
commercial,Ludhiana,27400,8,321,730,economy,medium,False,moderate,2,clay,deep,0,moderate,16,raft,36,485,basic,gentle_slope,172028000.0,739
commercial,Thiruvananthapuram,6800,4,34,331,standard,high,False,high,10,sandy,moderate,0,easy,16,strip,9,74,basic,gentle_slope,51340000.0,330
infrastructure,Jaipur,12200,1,92,359,premium,low,True,low,9,sandy,moderate,0,moderate,10.5,isolated,9,54,standard,hilly,97983000.0,372
industrial,Amritsar,29200,3,159,730,standard,medium,False,moderate,11,clay,shallow,26,difficult,12,pile,14,988,standard,flat,195998000.0,737
industrial,Salem,16100,3,55,533,standard,medium,False,low,7,normal,deep,30,moderate,14,raft,9,429,basic,flat,69804000.0,523
residential,Noida,3300,2,17,140,economy,medium,False,high,7,rocky,high,0,easy,10,isolated,5,16,basic,flat,10014000.0,132
residential,Pune,5200,1,35,190,standard,medium,False,moderate,10,marshy,shallow,0,easy,9,raft,8,27,standard,steep_slope,26420000.0,181
residential,Guntur,3100,4,31,136,standard,medium,False,moderate,1,rocky,deep,11,moderate,11,strip,7,9,standard,flat,13627000.0,121
infrastructure,Coimbatore,24200,1,177,728,economy,medium,False,low,2,sandy,moderate,17,moderate,16,raft,18,141,standard,gentle_slope,143182000.0,741
residential,Hyderabad,7600,3,54,476,standard,high,False,moderate,6,normal,shallow,37,easy,10,strip,12,32,standard,gentle_slope,38833000.0,467
industrial,Aurangabad,45600,2,124,730,standard,medium,False,moderate,11,sandy,deep,51,difficult,14,isolated,21,695,premium,gentle_slope,243442000.0,746
residential,Jabalpur,4400,3,39,272,standard,medium,False,moderate,8,normal,deep,0,moderate,9,strip,9,26,premium,flat,21610000.0,257
infrastructure,Surat,2200,1,14,61,economy,low,False,high,9,sandy,shallow,10,moderate,16,strip,2,12,basic,flat,9372000.0,67
commercial,Hyderabad,38700,1,209,730,standard,high,False,moderate,13,normal,shallow,17,easy,14,raft,50,451,standard,flat,254699000.0,750
residential,Bareilly,4300,2,23,176,standard,high,False,moderate,5,sandy,moderate,38,moderate,10.5,isolated,6,31,standard,flat,18562000.0,189
residential,Kochi,2000,1,8,91,economy,medium,False,low,7,sandy,deep,19,easy,12,strip,5,12,basic,hilly,6755000.0,78
infrastructure,Gandhinagar,10800,1,58,454,premium,medium,False,moderate,1,sandy,moderate,0,easy,12,isolated,8,41,standard,hilly,100744000.0,463
commercial,Noida,48500,1,275,730,premium,medium,False,high,9,rocky,shallow,2,moderate,12,raft,50,747,luxury,hilly,854958000.0,750
residential,Raipur,7700,4,63,401,standard,low,False,high,1,rocky,deep,0,easy,9,isolated,11,30,standard,flat,25801000.0,420
commercial,Faridabad,11400,3,49,446,standard,medium,False,high,5,marshy,moderate,11,moderate,10,raft,16,98,standard,hilly,119873000.0,470
infrastructure,Nagpur,4200,2,32,155,standard,medium,False,high,16,sandy,moderate,44,difficult,10,isolated,3,14,standard,hilly,32131000.0,148
commercial,Gandhinagar,20500,7,171,730,standard,medium,False,moderate,12,clay,shallow,14,easy,12,raft,24,215,premium,steep_slope,231138000.0,729
residential,Mumbai,5100,1,40,184,standard,medium,False,high,8,normal,moderate,15,easy,10.5,raft,8,30,basic,hilly,21051000.0,179
commercial,Udaipur,8700,1,36,189,standard,medium,False,low,11,sandy,shallow,0,easy,11,isolated,9,137,standard,flat,30895000.0,182
infrastructure,Visakhapatnam,13600,1,73,344,standard,low,False,high,10,normal,moderate,50,difficult,11,isolated,9,60,standard,gentle_slope,67617000.0,329
residential,Warangal,6900,4,44,485,premium,medium,True,moderate,6,sandy,moderate,0,easy,10,strip,12,48,premium,hilly,55623000.0,480
residential,Noida,3800,4,37,263,premium,high,False,high,11,normal,deep,39,moderate,11,raft,7,15,luxury,flat,92090000.0,289
industrial,Nagpur,68500,2,249,730,economy,high,False,moderate,6,rocky,deep,12,easy,20,strip,35,1614,basic,hilly,232543000.0,738
industrial,Dehradun,23700,2,101,455,economy,medium,False,low,6,marshy,shallow,6,moderate,16,pile,10,837,standard,gentle_slope,134579000.0,464
residential,Bareilly,5400,1,24,219,economy,medium,False,moderate,8,normal,moderate,0,easy,10,isolated,9,19,basic,gentle_slope,9179000.0,207
residential,Jodhpur,4700,3,39,313,standard,low,False,moderate,3,normal,deep,0,easy,10.5,isolated,8,15,standard,flat,15188000.0,318
residential,Goa,2300,4,20,111,economy,low,False,high,6,normal,deep,30,moderate,10.5,isolated,4,10,standard,hilly,9933000.0,133
